recording id,timestamp [ns],pupil diameter left [mm],pupil diameter right [mm],eyeball center left x [mm],eyeball center left y [mm],eyeball center left z [mm],eyeball center right x [mm],eyeball center right y [mm],eyeball center right z [mm],optical axis left x,optical axis left y,optical axis left z,optical axis right x,optical axis right y,optical axis right z,eyelid angle top left [rad],eyelid angle bottom left [rad],eyelid aperture left [mm],eyelid angle top right [rad],eyelid angle bottom right [rad],eyelid aperture right [mm]
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989871335294,3.415625,2.4399948,-30.90625,14.96875,-36.3125,31.640625,13.1875,-33.0,0.06291191,0.5984757,0.798667,-0.40490395,0.5570388,0.72509354,-0.5229492,-1.3212891,9.669429,-0.83984375,-1.1894531,4.2994514
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989886335294,3.0095718,2.2360494,-30.25,15.1875,-36.0,32.375,14.0625,-33.0,0.03182308,0.56471944,0.82466924,-0.45335642,0.52126735,0.72301334,-0.5131836,-1.3349609,9.95953,-0.77783203,-1.1064453,3.981796
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989891348294,2.9985478,2.4289706,-30.15625,15.75,-36.90625,32.4375,14.4375,-33.9375,-0.03402604,0.5095516,0.85976714,-0.44771147,0.47212055,0.75937915,-0.43969727,-1.3251953,10.655561,-0.7680664,-1.1044922,4.0718555
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989896336294,3.174933,2.3224046,-29.875,15.15625,-36.71875,32.6875,14.125,-33.5,-0.0132877715,0.5659277,0.82434785,-0.47490582,0.5195996,0.710268,-0.5078125,-1.3300781,9.955716,-0.7836914,-1.1523438,4.491003
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989901461294,3.026108,2.4142718,-30.46875,16.09375,-37.1875,32.125,14.09375,-33.8125,0.0045439503,0.5320592,0.84669495,-0.4252913,0.49434868,0.75812054,-0.4309082,-1.3154297,10.625405,-0.7026367,-1.1777344,5.758979
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989906461294,3.0996017,2.4987898,-29.8125,15.25,-37.625,32.75,14.1875,-33.71875,-0.05824652,0.5505337,0.8327785,-0.47963485,0.50534415,0.71734077,-0.49389648,-1.3134766,9.894122,-0.68359375,-1.2080078,6.3659015
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989911346294,2.8111386,2.1937904,-29.75,15.34375,-37.0625,32.84375,13.625,-34.0625,-0.086222306,0.56834066,0.8182632,-0.48019373,0.5162581,0.70914847,-0.48242188,-1.3154297,10.048687,-0.69384766,-1.2568359,6.876401
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989916461294,3.084903,2.29117,-30.90625,14.8125,-36.53125,31.734375,14.09375,-34.25,0.07621728,0.5976931,0.798094,-0.3792916,0.5566332,0.73911935,-0.5620117,-1.3046875,9.009666,-0.6694336,-1.1835938,6.2173257
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989921461294,3.531378,2.4124346,-30.59375,16.5,-37.0,32.0,14.21875,-34.59375,0.045066584,0.53123206,0.84602696,-0.41003728,0.49009836,0.7692029,-0.39892578,-1.2900391,10.649522,-0.60595703,-1.1728516,6.808656
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989926461294,3.3458061,2.6310787,-30.1875,14.75,-36.5,32.40625,13.1875,-34.40625,0.005726601,0.62283313,0.7823338,-0.4050973,0.5771463,0.7090827,-0.52978516,-1.3242188,9.630763,-0.6816406,-1.2949219,7.5129647
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989931461294,3.6820402,2.7008977,-31.5,15.03125,-35.4375,31.171875,13.71875,-34.6875,0.13073999,0.60859793,0.7826338,-0.29428697,0.5771463,0.7617725,-0.53515625,-1.3173828,9.48024,-0.59375,-1.2597656,8.063597
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989936462294,3.287011,2.9379153,-31.25,14.40625,-36.0,31.4375,13.59375,-35.875,0.11239376,0.62854654,0.76960826,-0.28457248,0.5890465,0.7563351,-0.60498047,-1.3115234,8.610313,-0.5751953,-1.3222656,9.090583
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989941462294,3.6122212,3.222704,-31.71875,14.84375,-36.40625,30.96875,13.75,-37.03125,0.21962678,0.6232151,0.7505778,-0.17862353,0.59964865,0.7800739,-0.5541992,-1.3027344,9.072681,-0.56396484,-1.3388672,9.436766
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989946462294,2.9875238,2.9140298,-32.1875,14.5625,-35.15625,30.53125,14.5625,-36.5625,0.19766204,0.6113065,0.766312,-0.17650157,0.5843014,0.7921105,-0.58740234,-1.3164062,8.874756,-0.48120117,-1.2529297,9.247816
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989951467294,3.4597216,2.9764996,-31.90625,15.03125,-35.4375,30.8125,14.6875,-36.5,0.18164743,0.57114965,0.8004951,-0.19134581,0.5489021,0.81369114,-0.55859375,-1.3076172,9.086806,-0.46606445,-1.2451172,9.316587
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989956468294,3.4027638,2.8680964,-31.9375,14.625,-35.90625,30.75,14.8125,-38.0625,0.15781489,0.60082024,0.7836514,-0.17611521,0.5767475,0.79771286,-0.6064453,-1.3183594,8.683305,-0.45629883,-1.2539062,9.539633
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989961472294,3.0150838,2.7688797,-32.03125,13.75,-35.625,30.65625,14.25,-38.1875,0.1749115,0.6334709,0.75373775,-0.13890769,0.615933,0.7754555,-0.6923828,-1.3339844,7.9013906,-0.4951172,-1.3125,9.867583
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989966462294,3.307222,2.7615302,-32.46875,14.84375,-35.5625,30.234375,14.8125,-39.15625,0.21889432,0.5988669,0.7703531,-0.07549945,0.58548963,0.8071566,-0.5883789,-1.3261719,8.991982,-0.44750977,-1.2402344,9.461265
92dd4baf-ea37-401c-98e7-3a8fe37d8baa,1746606989971473294,3.388065,3.037132,-31.9375,15.75,-37.15625,30.71875,15.125,-38.78125,0.17390884,0.5361871,0.8259898,-0.12557688,0.5237653,0.8425559,-0.47509766,-1.328125,10.297759,-0.39648438,-1.2490234,10.143871
